timestamp,open,close,high,low,vol
2019-01-14 14:30:00,18.43,18.55,18.56,18.36,59233
2019-01-14 14:35:00,18.54,18.62,18.8,18.54,71546
2019-01-14 14:40:00,18.62,18.74,18.79,18.62,44740
2019-01-14 14:45:00,18.75,18.62,18.75,18.57,41154
2019-01-14 14:50:00,18.6185,18.77,18.79,18.61,42170
2019-01-14 14:55:00,18.76,18.73,18.83,18.68,40275
2019-01-14 15:00:00,18.74,18.8734,18.92,18.71,48212
2019-01-14 15:05:00,18.88,18.85,18.91,18.82,39701
2019-01-14 15:10:00,18.83,18.86,18.93,18.83,25389
2019-01-14 15:15:00,18.85,18.81,18.85,18.73,56905
2019-01-14 15:20:00,18.81,18.83,18.84,18.75,17041
2019-01-14 15:25:00,18.82,18.82,18.83,18.73,24829
2019-01-14 15:30:00,18.81,18.88,18.9,18.8,34841
2019-01-14 15:35:00,18.88,18.75,18.88,18.75,27172
2019-01-14 15:40:00,18.765,18.75,18.78,18.71,30480
2019-01-14 15:45:00,18.75,18.66,18.78,18.62,31600
2019-01-14 15:50:00,18.64,18.6261,18.67,18.59,45524
2019-01-14 15:55:00,18.64,18.72,18.79,18.64,46151
2019-01-14 16:00:00,18.71,18.72,18.75,18.61,27434
2019-01-14 16:05:00,18.72,18.67,18.72,18.62,31562
2019-01-14 16:10:00,18.67,18.71,18.73,18.66,10783
2019-01-14 16:15:00,18.7086,18.55,18.74,18.54,29889
2019-01-14 16:20:00,18.53,18.57,18.59,18.5,31279
2019-01-14 16:25:00,18.56,18.72,18.74,18.56,23748
2019-01-14 16:30:00,18.72,18.76,18.76,18.69,18108
2019-01-14 16:35:00,18.76,18.74,18.795,18.71,16761
2019-01-14 16:40:00,18.75,18.75,18.81,18.74,21188
2019-01-14 16:45:00,18.75,18.7322,18.78,18.72,14937
2019-01-14 16:50:00,18.73,18.68,18.77,18.66,28328
2019-01-14 16:55:00,18.68,18.66,18.68,18.62,9127
2019-01-14 17:00:00,18.68,18.72,18.73,18.67,9489
2019-01-14 17:05:00,18.71,18.73,18.742,18.69,8129
2019-01-14 17:10:00,18.74,18.725,18.74,18.72,4700
2019-01-14 17:15:00,18.78,18.87,18.8834,18.78,16569
2019-01-14 17:20:00,18.86,18.94,18.95,18.8553,34685
2019-01-14 17:25:00,18.94,18.91,18.94,18.91,12787
2019-01-14 17:30:00,18.94,18.9599,18.9599,18.92,8950
2019-01-14 17:35:00,18.93,18.89,18.93,18.87,7033
2019-01-14 17:40:00,18.89,18.872,18.89,18.86,2566
2019-01-14 17:45:00,18.9,18.9,18.95,18.89,11154
2019-01-14 17:50:00,18.92,18.9101,18.95,18.91,9793
2019-01-14 17:55:00,18.92,18.88,18.93,18.88,7000
2019-01-14 18:00:00,18.89,18.88,18.91,18.86,8826
2019-01-14 18:05:00,18.88,18.91,18.92,18.86,9196
2019-01-14 18:10:00,18.93,19.01,19.02,18.9131,11970
2019-01-14 18:15:00,19.0,19.014,19.02,18.99,6834
2019-01-14 18:20:00,19.01,19.05,19.06,19.01,9935
2019-01-14 18:25:00,19.03,19.04,19.05,19.03,9874
2019-01-14 18:30:00,19.05,19.03,19.06,19.03,5200
2019-01-14 18:35:00,19.06,19.05,19.07,19.05,2000
2019-01-14 18:40:00,19.05,19.07,19.07,19.05,4100
2019-01-14 18:45:00,19.0699,19.02,19.08,19.02,9056
